Day,MinTemp,MaxTemp,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm
60,15.4,35,55,18,1017.4,1015,23.4,34.3
61,13.8,33.5,44,20,1019.2,1015.6,21.9,32.2
62,13.6,34.2,50,20,1015.8,1011.6,21.9,31.8
63,14.3,35,43,14,1012.6,1008.7,23,33.6
64,15.9,23.4,69,55,1016.8,1016.3,19.2,22.3
65,16.7,25.3,56,45,1016.2,1013,20.3,23.9
66,12.1,27.5,69,40,1011.8,1007.4,18.6,26.8
67,14.3,34.1,77,34,1006.6,1003.3,18.9,31.9
68,16.5,33.9,60,36,1012.3,1009.5,20.8,31.3
69,16.5,30.3,77,44,1015.7,1013.4,18.1,28
70,17.5,29.9,74,45,1018.5,1015.9,19.3,27.9
71,14.7,34.2,64,25,1017.8,1013.3,21.3,32.2
72,17.5,35.8,56,24,1011.8,1006.5,24.7,34.5
73,20.9,35.7,61,28,1007.6,1003,23.6,34
74,17,33.8,65,35,1004,1001.8,23,31.8
75,16,22.8,70,57,1012.3,1012.3,17,21.6
76,15.4,33.8,70,26,1014.2,1009,18,31.7
77,17.9,33.2,58,62,1008.5,1006.1,24.5,23.5
78,15.2,25.1,62,42,1016.8,1015,17.1,23.9
79,15.1,20.4,63,55,1017.5,1015.8,17.8,19.4
80,15.3,19.6,92,88,1008.7,1006,18,18.6
81,17.2,24.7,80,71,1004.9,1004,19.4,21.9
82,15.9,19.9,73,58,1011.4,1012.1,17.4,18.6
83,10,22.5,55,46,1018.7,1016.8,14.7,22.2
84,9.9,24.4,60,38,1021.6,1019.2,16.2,22.7
85,10.3,27.8,64,29,1021.3,1018.1,17,26.3
86,15.4,25.7,67,32,1020.1,1016.9,17.6,24.6
87,12.7,28.8,70,28,1016.5,1012.4,18.3,28.3
88,13.2,31.3,71,28,1013.1,1009.5,19.7,30.7
89,15.3,33.2,60,18,1013.9,1012,22.4,32.1
90,17.9,33.9,72,22,1017.4,1014.6,19.8,32.3
91,18,34.9,68,29,1018,1013.7,22.2,33.1
92,17.6,27.8,66,49,1014.6,1012.8,21.4,26.3
93,16,23.8,73,49,1018.9,1017.1,16.5,22.9
94,14.9,28.8,71,44,1018.2,1014.5,19.1,27
95,17.1,29.6,67,38,1016.7,1012.8,21.7,29.1
96,18.2,22.6,92,76,1014.4,1011.5,18.5,22.1
97,16.8,22.8,88,71,1010,1007.8,18.4,21.5
98,13.6,27.4,77,41,1002.1,997.5,18.7,26.5
99,14.5,24.2,76,76,999.4,998.9,17.9,20.3
100,12.4,19.9,75,58,1007.6,1005,13.6,18.7
101,10.4,20.9,65,51,1007.7,1006.8,13.8,18.7
102,9.1,23.1,66,37,1013.6,1011.4,14,21.4
103,8.9,26,74,34,1016.1,1011.7,14.6,24.2
104,14.5,24.2,95,60,1010.8,1006.8,15.8,22.6
105,12.6,18.2,81,73,1010,1011,16.3,16.8
106,8.6,24.2,63,37,1017.5,1015.1,13.7,22
107,10.8,25.2,69,32,1020.2,1016.7,15,24.3
108,11.2,26.1,71,40,1022.9,1020,15.3,24.7
109,12.1,24.1,64,46,1025.2,1021.4,15.4,22.5
110,10.8,25.8,72,42,1021.3,1017.4,17.2,24.1
111,11.4,27.1,69,38,1017.6,1012.8,16.9,26.1
112,12,28.9,78,31,1012.2,1009.1,17.4,28.6
113,16.3,24.8,88,56,1011.8,1008.4,17.5,24
114,12.7,28.6,78,42,1008.3,1002.3,16.5,27.4
115,12.7,25.1,57,32,1007.4,1005.4,15.7,24.5
116,12,23.8,54,34,1007.9,1007.2,15.1,22.9
117,11.5,25.9,70,35,1016.4,1014.3,15.8,24.3
118,13,28.2,74,27,1017.6,1014.4,17.4,27
119,11.7,27.6,74,25,1013.6,1009.1,17.6,26.8
120,14.8,17.3,74,78,1010,1009.9,15.7,15.3
121,7.7,18.4,58,34,1015.5,1014.5,10.6,16.8
122,4.4,21.8,60,31,1020.8,1019.3,11.7,20
123,7.4,24.4,65,37,1026.3,1023.2,12.2,22.1
124,8.3,27.3,78,28,1025.4,1020.4,13.8,25.5
125,10.1,28.2,72,28,1021.1,1018.2,15.6,27
126,12,27.6,69,35,1025.5,1022.2,15.7,26.2
127,12.9,31.8,76,24,1023.9,1019.3,17.4,30
128,10.8,29.2,56,34,1021.6,1017.7,17.5,27.7
129,9.5,27.4,79,39,1024.7,1020.7,14,24.9
130,12.1,27.8,66,33,1024.8,1023.1,17.8,27
131,12.5,31.7,74,28,1024.9,1020.4,17.2,30.1
132,13.9,34.7,50,18,1022.8,1019.3,20.2,32.7
133,13.3,31.7,80,23,1021.6,1017.6,17.5,30.7
134,13.2,33.1,91,18,1020.9,1017.7,16.1,31.7
135,12.3,33.8,57,15,1022.6,1019.1,17.9,32.7
136,13.8,35.2,47,15,1022.5,1019.3,21.4,34.1
137,11.3,32.3,44,17,1024.3,1020.7,18.2,30.5
138,11.7,30.2,73,22,1024.3,1020.6,17.7,28.8
139,12.5,29.9,76,30,1022.7,1018.8,16.8,29.2
140,15.1,26.2,59,48,1022.1,1018.7,19.7,24.5
141,11.5,29.3,76,35,1013.8,1009.4,17.1,27.6
142,13,14.8,77,62,1017.4,1019.3,13.3,13.9
143,11.6,19.6,71,64,1023.6,1021.8,14,17.9
144,12.8,24.9,76,44,1023.2,1019.3,15.5,24.2
145,15.5,22.4,89,68,1018.7,1015.4,17.1,21.1
146,13.1,17.4,94,93,1010.2,1006.5,16.4,16.6
147,12.6,20.2,76,50,1007.9,1008.4,15.1,17.4
148,4.4,18.3,80,36,1014.8,1012.6,8.4,17.4
149,4.4,18.2,78,35,1017.4,1015,9.2,17.2
150,7.1,18.5,90,30,1015.1,1011.3,8.8,18.2
151,4.2,18.9,60,34,1011.2,1009.3,11.2,18.1
152,9.6,18.8,54,42,1012.7,1013,13.1,16.5
153,3.5,21.8,72,34,1023.9,1021.2,8.7,21.2
154,5.3,23.3,90,26,1018,1010.5,9.5,22.5
155,7,14.3,68,40,1010.3,1012.7,9.1,13.7
156,0.4,18.9,77,33,1021.2,1019.1,5.2,17.6
157,3.2,21.4,76,27,1025.2,1022.3,8.2,20.5
158,5.9,21.8,70,35,1028,1024.1,12.9,20.8
159,8.1,20.5,66,48,1027.8,1024,14.9,19.5
160,6.9,18.9,68,45,1028.2,1025.4,13.8,17.8
161,5.6,19.5,69,49,1025.7,1021.8,14.3,18.6
162,7.2,22.9,82,28,1023.1,1019.2,14,22.2
163,7.1,23.4,72,29,1021,1016.9,12.7,22.4
164,6.1,24.1,75,32,1019.2,1015.8,11.5,23.7
165,7.1,19.8,96,56,1018.4,1013.8,10.7,19.1
166,5.6,18,70,40,1020.8,1019.6,12.4,17.9
167,5.4,20.7,66,36,1027.2,1023.9,12.3,20.4
168,6.3,19.3,65,39,1027.9,1024.4,12.6,18.8
169,5.3,21,77,44,1027.2,1023.3,12,20.4
170,7.9,19.7,58,43,1027.3,1024.1,14,19.1
171,8.4,16.1,69,51,1029.5,1027.4,13.6,15.2
172,8.1,18.7,66,65,1028.2,1024.2,13.5,15.6
173,2.4,20.6,77,34,1024.8,1021,10.6,19.8
174,5.6,18.9,79,49,1025.8,1023.5,12.5,17.7
175,7.5,19,74,43,1025.5,1022.2,12.6,18.1
176,2.5,21.2,82,55,1023.7,1019.8,9.2,17.6
177,5,20.9,84,42,1019.9,1014.3,10.1,20.6
178,3.8,21.7,99,34,1011.9,1006.7,7.9,20.2
179,7.9,18.7,68,51,1003.2,997.7,14.4,16.6
180,4.3,11.3,75,60,1006.3,1008.1,7.1,8.8
181,-2.1,13.8,69,40,1020.6,1019.6,6.3,13.2
182,-1.8,14.8,80,40,1024.2,1020.5,5.3,13.9
183,3.8,13.8,67,54,1020.6,1018.5,10.5,12.4
184,2.1,17.3,81,38,1020,1017.3,8.7,15.9
185,0.5,17.1,74,42,1020.8,1017.4,7.4,16.2
186,-0.9,16.7,76,42,1022.7,1018.5,6.2,15.4
187,0.4,19,76,41,1019.8,1015.8,7.7,18.5
188,7.5,16.8,70,53,1018,1013.8,12.5,15.4
189,8.3,17.6,73,43,1015.8,1013.5,12.4,16.5
190,-0.2,18.1,80,44,1021.4,1018.9,6.7,16.9
191,0.1,21,78,36,1023.2,1020.3,7.6,20.7
192,1.5,20.9,80,41,1023.2,1020,8.4,20.9
193,8.3,17.4,80,52,1024.4,1021.5,13.5,17.2
194,9.4,19.2,73,47,1024.2,1020.3,12.1,18.8
195,1.3,19,87,34,1024.7,1021.4,7.9,18.6
196,2.2,18.6,84,44,1024.4,1021,8.5,17.8
197,-0.4,17.9,80,40,1023.5,1018.7,6.8,17.7
198,4.5,16,88,69,1017.7,1013.7,10,15.2
199,7.9,12.3,68,78,1006.3,1005.9,11.3,7.3
200,4.3,14.1,71,53,1008.4,1008.3,7.9,13.3
201,-2.7,18.1,85,36,1017.8,1014.3,3.5,16.7
202,0.3,17,99,52,1021.9,1018.6,3.8,16.2
203,3.8,17.4,81,47,1024.5,1022.9,8,16.6
204,2.4,14.7,74,43,1030.4,1026,5.9,13.8
205,1.2,14.8,81,49,1028.5,1024.8,5.3,14.5
206,1.2,14.5,74,43,1026.7,1023.5,6.5,13.9
207,-0.3,17.5,81,48,1025.5,1021.8,6.2,17.2
208,4.7,18.5,99,50,1026.6,1023.1,7,17.9
209,4.9,18.1,93,55,1025.7,1022.3,8.9,17.7
210,1.4,16.8,91,50,1027.2,1024.7,6.2,16.3
211,2.2,17.5,92,45,1032.1,1029.6,5.5,17.3
212,-0.1,18,83,46,1033.2,1028.7,5.6,17.4
213,-0.9,18.5,84,38,1030.2,1027.4,4.7,18.2
214,0.6,14,99,67,1032.3,1028.9,4.6,13.9
215,4.6,15.7,85,67,1030.3,1027.1,9.9,15.5
216,9.8,14.4,99,86,1028.5,1027.2,12.1,13.6
217,10.6,15.1,78,65,1028.2,1025.7,11.5,13.3
218,7.8,15.1,84,65,1025.9,1023.4,10.3,14.8
219,4.4,16.7,74,42,1025.2,1022.1,9.6,16.2
220,-0.2,15.5,86,42,1027.6,1027,4.9,14.5
221,4.3,14.5,76,70,1034.3,1031.7,7.9,13
222,7.4,16.3,75,65,1031.4,1027.9,12.1,14.5
223,8.6,13.7,97,94,1027.8,1024.3,10.3,11.6
224,10.2,15,90,65,1022.9,1022.1,12.9,13.7
225,7.3,16.4,86,48,1023.7,1019.7,11.2,14.7
226,8.7,13,82,58,1013.7,1014.1,8.8,11.1
227,1,11.8,73,49,1025.7,1025.6,6.5,11
228,2.1,14.7,72,57,1029,1026.3,9,13.8
229,6.4,16.9,78,51,1027.8,1024.8,9.5,16
230,5.4,15.5,80,58,1028.6,1025.5,9.4,14.9
231,0.4,15.5,97,70,1026.7,1023.5,4,15
232,4,15.9,95,63,1022.5,1019.7,8.4,14.8
233,8.4,11.7,91,86,1021.2,1019.2,9.7,11.3
234,0.4,13.9,99,59,1023,1021,4.2,12.1
235,4.2,14,74,44,1026.4,1025.7,8.8,12.5
236,0.9,12.9,92,53,1025.1,1022.1,5.5,12.3
237,0.8,13,95,69,1028.2,1024.2,4.3,11.7
238,4.3,12.6,75,54,1026.3,1021.9,7.8,11.3
239,6.3,11.8,81,48,1018.7,1020.4,7,11.5
240,3.5,14.3,71,51,1027.8,1025,6.7,12.7
241,-1.5,14.8,90,41,1029.1,1026,2.1,14.5
242,1.2,16,84,38,1024.6,1020.9,6.5,14.6
243,0.5,15.4,53,68,1017.2,1010.2,9.7,12.9
244,5.3,11.7,73,56,1012.1,1012.3,6.9,11.1
245,6.6,13.1,62,53,1013.5,1014,10.6,12.3
246,-1.6,11.5,82,53,1024.3,1021.9,3,11.1
247,-3.1,12,80,52,1030.5,1030,5.9,10.2
248,-0.1,14.2,81,55,1032.9,1028.9,4.7,12.6
249,-0.6,14,86,59,1030,1026.3,3.7,13.6
250,3,11.1,99,96,1024.4,1021.1,6.3,8.6
251,2.9,9.5,93,72,1021.6,1019.6,5.5,7.4
252,-1.3,8.8,95,68,1020,1016.8,1.8,8
253,1.8,8.7,83,85,1014.6,1010.5,6,6.9
254,2.9,8.4,76,66,1016.7,1018.2,5.5,7.1
255,-2.6,11.1,87,54,1027.1,1022.7,0.8,9.9
256,0.5,11,92,69,1024.4,1021.9,2.8,10.7
257,2.7,16.5,93,51,1021.8,1019,6.7,15.9
258,-1.7,13.6,83,46,1023,1020.1,3.9,13.3
259,-0.9,12.8,99,62,1024.1,1020.8,2.7,12.1
260,-1.8,11.5,99,55,1019.7,1013.9,1.3,11
261,1.3,10.6,75,73,1010.8,1009.4,7.7,8.2
262,2.4,11.6,71,48,1016.7,1014.9,6,10.7
263,-1.1,11,92,87,1014.4,1009,2.4,8.7
264,2.3,11.6,78,56,1006.9,1010.3,7.6,11.2
265,-2.2,11.6,68,33,1025.7,1025.8,3.4,11
266,-3.5,11.2,76,48,1033.5,1031.1,3.6,10.1
267,-1,12.2,82,51,1032.2,1027.4,3.7,10.8
268,-2.1,12.9,92,25,1025.7,1020.9,1.4,12.3
269,-2,11.3,88,50,1020,1015.3,1.2,10.9
270,-2.3,9.7,92,66,1013.8,1010,1,7.8
271,-1.6,10.7,74,56,1014.1,1014.9,5.6,9.6
272,0.8,12.2,69,49,1020.9,1016.8,6.5,11.2
273,-2.8,12.2,84,48,1018.3,1014.6,2.7,11.5
274,-2.8,14.1,81,38,1017.3,1012.9,3,12.8
275,3,9.7,64,82,1005.1,1001.3,9.6,8.6
276,4.4,11.5,67,56,1013.9,1014.9,6.9,10.5
277,2.3,12.8,70,48,1021.2,1018.1,7.8,11.6
278,-2,12.3,81,60,1020.9,1018.3,2.6,9.1
279,-1.9,10.9,78,72,1020.8,1019.2,5.5,7.2
280,4.8,14.1,67,48,1018.2,1017.6,8.9,13.6
281,-0.6,11.1,89,78,1018.4,1015.9,3.8,5.7
282,3.1,12.5,69,62,1019.8,1019.1,7.6,11.3
283,-2.9,9.6,76,70,1022.4,1019,5.6,8.1
284,-3.5,7.6,92,68,1014.8,1012.6,3.3,5.1
285,-0.3,9.3,72,60,1017.4,1016.6,4.7,8.3
286,0.1,10.4,69,63,1021.3,1020.1,7,8.6
287,2.3,12.2,58,41,1024.2,1022.4,6.5,10.4
288,2.1,10.7,59,45,1022.2,1018.2,6.2,9.5
289,4.6,14.7,54,51,1014.7,1012.4,9.2,12
290,3.7,14.2,52,27,1012.7,1011.8,8.7,13.5
291,-1.3,11.6,59,35,1023.3,1022,4.5,10.8
292,-3.4,12.5,89,30,1025.2,1021.8,1.4,11.2
293,-5.3,13.1,94,47,1029.6,1025.6,0.1,12.2
294,0,14,60,36,1027.3,1024.4,7.9,12.4
295,2.4,14.1,50,27,1021.4,1017.8,8.6,13.2
296,-0.6,12.2,66,44,1018.5,1016.8,6.9,10.7
297,2.3,11.6,49,38,1025.9,1025.5,6.7,11.1
298,-3.7,14.4,64,28,1031,1028,5.2,14
299,-0.9,14.2,82,34,1030.2,1024.4,5.3,12.8
300,-1.5,17.3,77,23,1023.9,1020.3,4.8,15.8
301,-3.3,15.1,57,23,1027.7,1025.5,7.9,14.4
302,-0.1,14.7,60,43,1029.9,1025.9,7.2,12.3
303,-0.2,16.2,74,45,1027.6,1022.9,7.3,14.6
304,0.5,16.3,81,45,1023.7,1017.5,6.2,15.4
305,6.1,17.2,89,85,1011.2,1010.4,13.5,12.6
306,4.1,14.8,60,34,1023.2,1021.7,8.8,14.3
307,0.1,16.7,69,44,1027,1024.8,9,14.9
308,3.2,12.1,69,51,1033.6,1033.2,9.3,11.1
309,5.4,11.3,65,61,1035.7,1031.9,8.3,10.2
310,5.8,12.4,79,73,1027.3,1023.5,8.7,10.8
311,6.3,16.1,63,33,1019.7,1016.2,10,15.7
312,-0.9,16.7,84,33,1018.1,1013.9,6.4,15.5
313,0.2,15.5,79,37,1020.6,1018.2,7.2,15.3
314,-3.7,14.7,53,25,1025.8,1020.9,5.5,13.4
315,-2.7,15.2,62,35,1022.8,1017.9,6.3,14.9
316,-2.5,16.6,68,20,1018.8,1013.9,6,16.3
317,-0.5,21.6,44,27,1014.6,1010.9,11.9,21.5
318,9,25.5,47,31,1015.3,1011.4,17.5,25.1
319,13.1,19.4,71,43,1007.3,1006,16.7,18.2
320,8.7,19.7,63,33,1009.1,1001.5,15.6,18.5
321,3.9,13.2,53,33,1017,1017.6,7.1,12.2
322,0.7,14.1,69,43,1026.7,1022.1,7.4,13.7
323,1.1,18,82,36,1021,1015.6,7,17.8
324,5.1,23.3,54,30,1016.4,1011.7,16.4,22.4
325,7.5,23.3,46,15,1012.5,1010.9,18.3,21.3
326,4.7,19.5,42,25,1018.7,1015.1,14.5,18.3
327,3.2,21.9,51,50,1012.1,1006.5,15.9,21
328,7.8,16.2,73,44,1016.7,1017.8,8,14.3
329,2.4,17.3,67,33,1030.5,1027.7,10.7,16.5
330,3.2,18.7,70,32,1032.2,1026.9,11,18.1
331,2.5,20.9,48,35,1025.4,1020.6,15.4,20
332,6.5,25.7,62,25,1022.8,1016.4,15.9,24.7
333,14.4,24.3,36,25,1010.5,1009.9,20.4,23
334,4.9,18.9,41,32,1015.2,1013.9,14.9,16
335,2.3,16.8,52,34,1019.8,1017,9.8,16.3
336,1.4,20.6,56,16,1020.8,1015.4,11.3,19.5
337,5.6,27.6,44,21,1017.7,1014.1,19,26.7
338,16.8,28.9,44,22,1016.3,1011.8,22.5,28.4
339,14.4,20.7,94,65,1015.5,1013.2,14.5,19.3
340,10.3,21.3,79,46,1018.1,1013.6,11.7,19.8
341,11.2,18,65,40,1009.5,1005.3,12.8,16.2
342,0.3,16,68,45,1016.8,1013.3,6.9,14.6
343,0.5,17.9,72,33,1019.1,1017.5,7.2,16.6
344,0.5,20,69,22,1026.2,1024.2,8.1,18.8
345,4.6,22,82,25,1028.8,1024.9,10,21.4
346,8.2,22.4,70,30,1027.8,1023.8,13.6,20.6
347,4.5,23.9,67,27,1025.8,1021.5,12.6,22.3
348,6.7,26.1,56,47,1020.9,1016,16.3,23.2
349,11.9,21.1,82,61,1019.2,1016.7,14.5,19.4
350,9.2,19.6,71,42,1022.3,1019.7,11.6,18.4
351,4.4,21,73,30,1025.7,1022.3,9.6,19.2
352,5,24.1,73,34,1024.5,1020.7,11.6,21.9
353,6.7,24.7,80,31,1025.7,1022.2,12.7,23.7
354,8.3,28.5,66,30,1024.1,1019.8,16.8,27.4
355,11.3,27.4,60,20,1021.4,1017.5,16.4,26.3
356,9,20.6,54,28,1022.3,1018.6,11.4,18.5
357,3.4,15,43,24,1023.4,1023.1,8.3,14.3
358,3.2,18,47,25,1026.6,1022.8,9.1,16.3
359,0.9,20.7,71,29,1023.2,1018.4,9.4,19.1
360,3.3,25.5,57,16,1018.8,1014.6,12,24.8
361,7.9,26.1,45,20,1017.6,1014.2,16.3,25.9
362,9,30.7,38,15,1016.1,1010.8,20.4,30
363,7.1,28.4,45,22,1020,1016.9,17.2,28.2
364,12.5,19.9,63,47,1024,1022.8,14.5,18.3
365,12.5,26.9,69,39,1021,1016.2,15.8,25.9
366,12.3,30.2,43,13,1009.6,1009.2,23.8,28.6
